epoch, acc, esacc_attr0, esacc_attr1, esacc_attr2, esacc_attr3,  auc, esauc_attr0, esauc_attr1, esauc_attr2, esauc_attr3,  auc_attr0_group0, auc_attr0_group1, auc_attr0_group2, auc_attr1_group0, auc_attr1_group1, auc_attr2_group0, auc_attr2_group1, auc_attr3_group0, auc_attr3_group1, auc_attr3_group2,  dpd_attr0, dpd_attr1, dpd_attr2, dpd_attr3,  eod_attr0, eod_attr1, eod_attr2, eod_attr3,  std_group_disparity_attr0, max_group_disparity_attr0, std_group_disparity_attr1, max_group_disparity_attr1, std_group_disparity_attr2, max_group_disparity_attr2, std_group_disparity_attr3, max_group_disparity_attr3,  path
8, 0.6410, 0.5839, 0.6124, 0.5944, 0.5819,  0.7036, 0.6899, 0.6647, 0.6315, 0.6697,  0.7101, 0.6927, 0.7012, 0.6774, 0.7360, 0.7075, 0.5934, 0.7023, 0.6818, 0.6760,  0.0810, 0.0236, 0.0950, 0.1511,  0.1050, 0.0694, 0.1818, 0.1793,  0.0101, 0.0247, 0.0416, 0.0832, 0.0811, 0.1621, 0.0161, 0.0375,  ./results/glaucoma_CLIP_vit-b16_seed4142_auc0.7036
0, 0.5507, 0.5041, 0.5180, 0.5300, 0.4651,  0.5622, 0.5410, 0.5323, 0.5416, 0.5227,  0.5522, 0.5756, 0.5464, 0.5383, 0.5944, 0.5638, 0.5257, 0.5568, 0.6307, 0.5638,  0.3168, 0.0619, 0.0231, 0.2585,  0.3165, 0.1249, 0.0618, 0.2628,  0.0225, 0.0519, 0.0499, 0.0998, 0.0339, 0.0678, 0.0592, 0.1314,  ./results/glaucoma_CLIP_vit-b16_seed8703_auc0.5622
0, 0.6410, 0.5839, 0.6124, 0.5944, 0.5819,  0.7036, 0.6899, 0.6647, 0.6315, 0.6697,  0.7101, 0.6927, 0.7012, 0.6774, 0.7360, 0.7075, 0.5934, 0.7023, 0.6818, 0.6760,  0.0810, 0.0236, 0.0950, 0.1511,  0.1050, 0.0694, 0.1818, 0.1793,  0.0101, 0.0247, 0.0416, 0.0832, 0.0811, 0.1621, 0.0161, 0.0375,  ./results/glaucoma_CLIP_vit-b16_seed5208_auc0.7036
0, 0.6102, 0.5278, 0.5828, 0.5611, 0.5497,  0.6726, 0.6236, 0.6266, 0.6266, 0.5798,  0.7029, 0.7011, 0.6526, 0.6410, 0.7144, 0.6749, 0.6014, 0.6742, 0.5852, 0.6014,  0.2747, 0.0520, 0.0478, 0.1215,  0.2763, 0.1048, 0.1219, 0.3380,  0.0346, 0.0747, 0.0546, 0.1091, 0.0546, 0.1093, 0.0575, 0.1323,  ./results/glaucoma_CLIP_vit-b16_seed8172_auc0.6726
0, 0.6102, 0.5278, 0.5828, 0.5611, 0.5497,  0.6726, 0.6236, 0.6266, 0.6266, 0.5798,  0.7029, 0.7011, 0.6526, 0.6410, 0.7144, 0.6749, 0.6014, 0.6742, 0.5852, 0.6014,  0.2747, 0.0520, 0.0478, 0.1215,  0.2763, 0.1048, 0.1219, 0.3380,  0.0346, 0.0747, 0.0546, 0.1091, 0.0546, 0.1093, 0.0575, 0.1323,  ./results/glaucoma_FairCLIP_vit-b16_seed662_auc0.6726
1, 0.6601, 0.6446, 0.6258, 0.6244, 0.5238,  0.6827, 0.6327, 0.6352, 0.6227, 0.5681,  0.6895, 0.7328, 0.6605, 0.6508, 0.7255, 0.6860, 0.5896, 0.6842, 0.5909, 0.5742,  0.1977, 0.0613, 0.1317, 0.1684,  0.1589, 0.1149, 0.1970, 0.2888,  0.0435, 0.1059, 0.0547, 0.1095, 0.0706, 0.1412, 0.0709, 0.1612,  ./results/glaucoma_CLIP_vit-b16_seed8404_auc0.6827
1, 0.4934, 0.4161, 0.4880, 0.4770, 0.3390,  0.6486, 0.5871, 0.6070, 0.6110, 0.5482,  0.6869, 0.6916, 0.6252, 0.6191, 0.6876, 0.6501, 0.5885, 0.6494, 0.5369, 0.5780,  0.0228, 0.0009, 0.0066, 0.0116,  0.0346, 0.0042, 0.0097, 0.0159,  0.0467, 0.1024, 0.0528, 0.1056, 0.0474, 0.0949, 0.0716, 0.1734,  ./results/glaucoma_CLIP_vit-b16_seed5724_auc0.6486
5, 0.6346, 0.5653, 0.6095, 0.5921, 0.5472,  0.7033, 0.6956, 0.6628, 0.6262, 0.6520,  0.7028, 0.7081, 0.6976, 0.6758, 0.7369, 0.7085, 0.5854, 0.7017, 0.6477, 0.6818,  0.1200, 0.0001, 0.1584, 0.1292,  0.1227, 0.0497, 0.2168, 0.1162,  0.0061, 0.0149, 0.0434, 0.0869, 0.0875, 0.1750, 0.0317, 0.0768,  ./results/glaucoma_CLIP_vit-b16_seed4746_auc0.7033
0, 0.6346, 0.5653, 0.6095, 0.5921, 0.5472,  0.7033, 0.6956, 0.6628, 0.6262, 0.6520,  0.7028, 0.7081, 0.6976, 0.6758, 0.7369, 0.7085, 0.5854, 0.7017, 0.6477, 0.6818,  0.1200, 0.0001, 0.1584, 0.1292,  0.1227, 0.0497, 0.2168, 0.1162,  0.0061, 0.0149, 0.0434, 0.0869, 0.0875, 0.1750, 0.0317, 0.0768,  ./results/glaucoma_CLIP_vit-b16_seed1207_auc0.7033
0, 0.4934, 0.4161, 0.4880, 0.4770, 0.3390,  0.6486, 0.5871, 0.6070, 0.6110, 0.5482,  0.6869, 0.6916, 0.6252, 0.6191, 0.6876, 0.6501, 0.5885, 0.6494, 0.5369, 0.5780,  0.0228, 0.0009, 0.0066, 0.0116,  0.0346, 0.0042, 0.0097, 0.0159,  0.0467, 0.1024, 0.0528, 0.1056, 0.0474, 0.0949, 0.0716, 0.1734,  ./results/glaucoma_CLIP_vit-b16_seed8213_auc0.6486
0, 0.6601, 0.6446, 0.6258, 0.6244, 0.5238,  0.6827, 0.6327, 0.6352, 0.6227, 0.5681,  0.6895, 0.7328, 0.6605, 0.6508, 0.7255, 0.6860, 0.5896, 0.6842, 0.5909, 0.5742,  0.1977, 0.0613, 0.1317, 0.1684,  0.1589, 0.1149, 0.1970, 0.2888,  0.0435, 0.1059, 0.0547, 0.1095, 0.0706, 0.1412, 0.0709, 0.1612,  ./results/glaucoma_CLIP_vit-b16_seed6299_auc0.6827
0, 0.6293, 0.6140, 0.6063, 0.5979, 0.5799,  0.6524, 0.6187, 0.6151, 0.5939, 0.6008,  0.6789, 0.6655, 0.6374, 0.6257, 0.6865, 0.6559, 0.5573, 0.6510, 0.6165, 0.6039,  0.1932, 0.0305, 0.0224, 0.1739,  0.2081, 0.0717, 0.0671, 0.1467,  0.0265, 0.0636, 0.0466, 0.0931, 0.0755, 0.1511, 0.0305, 0.0722,  ./results/glaucoma_FairCLIP_vit-b16_seed1959_auc0.6524
0, 0.5204, 0.4399, 0.5115, 0.4905, 0.4072,  0.6532, 0.6168, 0.6156, 0.6269, 0.5402,  0.6902, 0.6353, 0.6491, 0.6258, 0.6869, 0.6545, 0.6125, 0.6566, 0.5227, 0.5780,  0.0444, 0.0012, 0.0022, 0.0835,  0.0711, 0.0063, 0.0289, 0.1064,  0.0357, 0.0840, 0.0468, 0.0936, 0.0321, 0.0642, 0.0841, 0.2050,  ./results/glaucoma_FairCLIP_vit-b16_seed3728_auc0.6532
0, 0.5443, 0.4573, 0.5410, 0.5397, 0.3834,  0.6708, 0.6136, 0.6265, 0.6184, 0.6305,  0.7047, 0.6212, 0.6807, 0.6405, 0.7113, 0.6737, 0.5889, 0.6709, 0.6875, 0.7181,  0.0547, 0.0303, 0.0337, 0.0188,  0.0931, 0.0343, 0.0552, 0.0485,  0.0523, 0.1244, 0.0528, 0.1055, 0.0632, 0.1265, 0.0291, 0.0703,  ./results/glaucoma_FairCLIP_vit-b16_seed67_auc0.6708
6, 0.6601, 0.5741, 0.6284, 0.6411, 0.5383,  0.7340, 0.7051, 0.6857, 0.7165, 0.6486,  0.7397, 0.7015, 0.7369, 0.7028, 0.7733, 0.7352, 0.7108, 0.7367, 0.6989, 0.6401,  0.0852, 0.0389, 0.1409, 0.0951,  0.1464, 0.0866, 0.1833, 0.2174,  0.0237, 0.0521, 0.0481, 0.0961, 0.0167, 0.0333, 0.0541, 0.1316,  ./results/glaucoma_CLIP_vit-b16_seed4467_auc0.7340
2, 0.5789, 0.5179, 0.5590, 0.5634, 0.4602,  0.6506, 0.6097, 0.6027, 0.6194, 0.5491,  0.6629, 0.6849, 0.6301, 0.6165, 0.6960, 0.6525, 0.6021, 0.6523, 0.5625, 0.5556,  0.1210, 0.0161, 0.0591, 0.1124,  0.1917, 0.0434, 0.0534, 0.1022,  0.0346, 0.0842, 0.0611, 0.1223, 0.0387, 0.0774, 0.0677, 0.1486,  ./results/glaucoma_CLIP_vit-b16_seed8086_auc0.6506
